Formula,Predicted H(HV),Predicted D(%),Composition,Al,Si,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Nb,Mo
Al0.209 Co1 Cr0.14 Cu0.163 Fe0.651 Mo0.163,245,54.8,Al0.209 Co1 Cr0.14 Cu0.163 Fe0.651 Mo0.163,0.08985382631126397,0.0,0.0,0.0,0.06018916595012898,0.0,0.27987962166809977,0.42992261392949266,0.0,0.07007738607050731,0.0,0.07007738607050731
Al0.209 Co1 Cr0.721 Fe0.395,540,54.3,Al0.209 Co1 Cr0.721 Fe0.395,0.08989247311827955,0.0,0.0,0.0,0.3101075268817204,0.0,0.16989247311827957,0.4301075268817204,0.0,0.0,0.0,0.0
Al0.219 Co1 Cr0.719 Cu0.25 Fe0.937,273,59.7,Al0.219 Co1 Cr0.719 Cu0.25 Fe0.937,0.07008,0.0,0.0,0.0,0.23007999999999998,0.0,0.29984,0.32,0.0,0.08,0.0,0.0
Al0.22 Co1 Cr0.512 Ni0.683,262,58.5,Al0.22 Co1 Cr0.512 Ni0.683,0.09109730848861283,0.0,0.0,0.0,0.21200828157349896,0.0,0.0,0.41407867494824013,0.28281573498964807,0.0,0.0,0.0
Al0.222 Co1 Cr0.528 Fe0.5 Ni0.528,218,60.3,Al0.222 Co1 Cr0.528 Fe0.5 Ni0.528,0.07991360691144708,0.0,0.0,0.0,0.1900647948164147,0.0,0.17998560115190784,0.3599712023038157,0.1900647948164147,0.0,0.0,0.0
Al0.225 Co1 Cr0.55 Ni0.75,263,58.5,Al0.225 Co1 Cr0.55 Ni0.75,0.0891089108910891,0.0,0.0,0.0,0.21782178217821782,0.0,0.0,0.396039603960396,0.29702970297029696,0.0,0.0,0.0
Al0.235 Co1 Cr0.824 Fe0.882,542,59.5,Al0.235 Co1 Cr0.824 Fe0.882,0.07990479428765726,0.0,0.0,0.0,0.28017681060863653,0.0,0.2998979938796328,0.34002040122407345,0.0,0.0,0.0,0.0
Al0.236 Co1 Fe0.382 Nb0.2,492,22.1,Al0.236 Co1 Fe0.382 Nb0.2,0.12981298129812982,0.0,0.0,0.0,0.0,0.0,0.21012101210121015,0.5500550055005501,0.0,0.0,0.11001100110011003,0.0
Al0.237 Co1 Cr0.447 Cu0.132 Fe0.816,263,61.1,Al0.237 Co1 Cr0.447 Cu0.132 Fe0.816,0.09004559270516717,0.0,0.0,0.0,0.16983282674772035,0.0,0.3100303951367781,0.37993920972644374,0.0,0.05015197568389058,0.0,0.0
Al0.237 Co1 Cr0.5 Fe0.895,326,60.1,Al0.237 Co1 Cr0.5 Fe0.895,0.09004559270516717,0.0,0.0,0.0,0.18996960486322187,0.0,0.34004559270516715,0.37993920972644374,0.0,0.0,0.0,0.0
Al0.238 Co1 Cr0.476 Fe0.667,346,58.5,Al0.238 Co1 Cr0.476 Fe0.667,0.09995800083998319,0.0,0.0,0.0,0.19991600167996637,0.0,0.28013439731205375,0.4199916001679966,0.0,0.0,0.0,0.0
Al0.242 Co1 Cr0.364 Cu0.455 Fe0.424 Ni0.545,221,57.9,Al0.242 Co1 Cr0.364 Cu0.455 Fe0.424 Ni0.545,0.07986798679867987,0.0,0.0,0.0,0.12013201320132014,0.0,0.13993399339933993,0.33003300330033003,0.17986798679867988,0.15016501650165018,0.0,0.0
Al0.25 Co1 Cr0.614 Fe0.386,555,52.1,Al0.25 Co1 Cr0.614 Fe0.386,0.1111111111111111,0.0,0.0,0.0,0.2728888888888889,0.0,0.17155555555555557,0.4444444444444444,0.0,0.0,0.0,0.0
Al0.258 Co1 Cr0.581 Fe0.645 Ni0.742,189,60.0,Al0.258 Co1 Cr0.581 Fe0.645 Ni0.742,0.07997520148791072,0.0,0.0,0.0,0.1800991940483571,0.0,0.19993800371977682,0.30998140111593303,0.23000619962802232,0.0,0.0,0.0
Al0.258 Co1 Cr0.871 Fe0.806 Mn0.29,482,53.3,Al0.258 Co1 Cr0.871 Fe0.806 Mn0.29,0.08,0.0,0.0,0.0,0.270077519379845,0.08992248062015502,0.24992248062015504,0.31007751937984496,0.0,0.0,0.0,0.0
Al0.265 Co1 Cr0.882 Fe0.765,596,56.3,Al0.265 Co1 Cr0.882 Fe0.765,0.09100274725274725,0.0,0.0,0.0,0.30288461538461536,0.0,0.2627060439560439,0.34340659340659335,0.0,0.0,0.0,0.0
Al0.269 Co1 Cr0.846 Fe0.692 Mo0.115 Ni0.962,243,55.8,Al0.269 Co1 Cr0.846 Fe0.692 Mo0.115 Ni0.962,0.06925849639546859,0.0,0.0,0.0,0.21781668383110192,0.0,0.17816683831101954,0.2574665293511843,0.2476828012358393,0.0,0.0,0.029608650875386198
Al0.269 Co1 Cr0.885 Fe0.731 Ni0.962,162,57.9,Al0.269 Co1 Cr0.885 Fe0.731 Ni0.962,0.06992461658435145,0.0,0.0,0.0,0.23004938913439046,0.0,0.19001819599688072,0.25994281258123214,0.25006498570314534,0.0,0.0,0.0
Al0.28 Co1 Cr0.56 Fe1 Nb0.36 Ni0.8,453,33.3,Al0.28 Co1 Cr0.56 Fe1 Nb0.36 Ni0.8,0.07,0.0,0.0,0.0,0.14,0.0,0.25,0.25,0.2,0.0,0.09,0.0
Al0.28 Co1 Cr0.96 Fe0.84 Ni0.52 V0.36,511,42.2,Al0.28 Co1 Cr0.96 Fe0.84 Ni0.52 V0.36,0.07070707070707072,0.0,0.0,0.09090909090909091,0.24242424242424243,0.0,0.21212121212121213,0.25252525252525254,0.13131313131313133,0.0,0.0,0.0
Al0.286 Co1 Cr0.571 Fe0.75 Ni0.964,182,59.5,Al0.286 Co1 Cr0.571 Fe0.75 Ni0.964,0.08008961075329038,0.0,0.0,0.0,0.15989918790254828,0.0,0.21002520302436292,0.2800336040324839,0.26995239428731443,0.0,0.0,0.0
Al0.29 Co1 Cr0.29 Cu0.258 Fe0.968 Ni0.452,200,60.6,Al0.29 Co1 Cr0.29 Cu0.258 Fe0.968 Ni0.452,0.08901166359729895,0.0,0.0,0.0,0.08901166359729895,0.0,0.2971147943523634,0.3069367710251688,0.1387354205033763,0.07918968692449356,0.0,0.0
Al0.29 Co1 Cr0.677 Fe0.581 Ni0.677,241,57.9,Al0.29 Co1 Cr0.677 Fe0.581 Ni0.677,0.08992248062015502,0.0,0.0,0.0,0.20992248062015506,0.0,0.1801550387596899,0.31007751937984496,0.20992248062015506,0.0,0.0,0.0
Al0.293 Co1 Cr0.463 Fe0.683,449,53.9,Al0.293 Co1 Cr0.463 Fe0.683,0.12013120131201312,0.0,0.0,0.0,0.1898318983189832,0.0,0.2800328003280033,0.4100041000410004,0.0,0.0,0.0,0.0
Al0.296 Co1 Cr0.852 Fe0.704 Ni0.852,202,57.4,Al0.296 Co1 Cr0.852 Fe0.704 Ni0.852,0.07991360691144708,0.0,0.0,0.0,0.23002159827213822,0.0,0.19006479481641467,0.26997840172786175,0.23002159827213822,0.0,0.0,0.0
Al0.3 Co1 Cr0.5 Fe0.667 Mo0.167 Ni0.7,253,53.2,Al0.3 Co1 Cr0.5 Fe0.667 Mo0.167 Ni0.7,0.08998200359928014,0.0,0.0,0.0,0.14997000599880025,0.0,0.20005998800239955,0.2999400119976005,0.20995800839832035,0.0,0.0,0.050089982003599286
Al0.314 Co1 Cr0.629 Fe0.657 Mn0.286,567,47.1,Al0.314 Co1 Cr0.629 Fe0.657 Mn0.286,0.1088011088011088,0.0,0.0,0.0,0.21794871794871795,0.09909909909909909,0.22765072765072766,0.3465003465003465,0.0,0.0,0.0,0.0
Al0.324 Co1 Cr0.784 Fe0.595,583,49.3,Al0.324 Co1 Cr0.784 Fe0.595,0.11986681465038845,0.0,0.0,0.0,0.2900480947095819,0.0,0.220125786163522,0.36995930447650754,0.0,0.0,0.0,0.0
Al0.333 Co1 Cr0.606 Fe0.667 Ni0.424,331,54.8,Al0.333 Co1 Cr0.606 Fe0.667 Ni0.424,0.10990099009900992,0.0,0.0,0.0,0.2,0.0,0.22013201320132017,0.33003300330033003,0.13993399339933993,0.0,0.0,0.0
Al0.346 Co1 Cr0.654 Fe0.962 Ni0.885,202,58.2,Al0.346 Co1 Cr0.654 Fe0.962 Ni0.885,0.08994021315310632,0.0,0.0,0.0,0.17000259942812584,0.0,0.25006498570314534,0.25994281258123214,0.23004938913439046,0.0,0.0,0.0
Al0.355 Co1 Cr0.774 Fe0.516 Ni0.581,304,51.2,Al0.355 Co1 Cr0.774 Fe0.516 Ni0.581,0.11004339739615622,0.0,0.0,0.0,0.23992560446373218,0.0,0.15995040297582144,0.30998140111593303,0.1800991940483571,0.0,0.0,0.0
