Unnamed: 0,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS,Al,Ti,V,Cr,Zr,Nb,Mo,Pd,Hf,Ta
321,Al1 Ti1 Mo1 V1 Pd1,AlTiVMoPd,SS,SS,-2.61882839936092,34.3720832230205,78.2253258149475,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0
322,Al1 Ti1 Mo1 V1 Nb1,AlTiVNbMo,SS,SS,-3.65926197868293,37.9789708897008,79.7097482200336,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0
323,Al1 Ti1 Mo1 V1 Hf1,AlTiVMoHf,SS,SS,-5.07449506775383,42.4423232159778,85.1149057921514,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0
324,Al1 Ti1 Mo1 Pd1 Nb1,AlTiNbMoPd,SS,SS,-2.91385159150984,34.7062612834147,82.2603456269407,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0
325,Al1 Ti1 Mo1 Pd1 Hf1,AlTiMoPdHf,SS,SS,-3.3354083038751,35.1329910434897,91.3862509931266,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0
326,Al1 Ti1 Mo1 Nb1 Hf1,AlTiNbMoHf,SS,SS,-5.02303423513869,40.1715724502345,85.2027894051107,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0
327,Al1 Ti1 V1 Pd1 Nb1,AlTiVNbPd,SS,SS,-3.18469883638646,39.1880848060997,91.4728715289581,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0
328,Al1 Ti1 V1 Pd1 Hf1,AlTiVPdHf,SS,SS,-4.90113405528295,40.668557192842,95.8597593218112,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0
329,Al1 Ti1 V1 Nb1 Hf1,AlTiVNbHf,SS,SS,-9.18195478954368,50.5077987623852,84.1361981357773,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0
330,Al1 Ti1 Pd1 Nb1 Hf1,AlTiNbPdHf,SS,SS,-5.02903996644747,40.301480792937,96.105401160293,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0
331,Al1 Mo1 V1 Pd1 Nb1,AlVNbMoPd,SS,SS,-3.17722807949499,35.9500371260702,84.0014446077018,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0
332,Al1 Mo1 V1 Pd1 Hf1,AlVMoPdHf,SS,SS,-3.58992428449979,35.7101984699796,87.6215205908035,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0
333,Al1 Mo1 V1 Nb1 Hf1,AlVNbMoHf,SS,SS,-4.32199393782246,39.0160877428199,81.6752331683504,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0
334,Al1 Mo1 Pd1 Nb1 Hf1,AlNbMoPdHf,SS,SS,-2.27337200934818,35.5392896948074,87.5270689803563,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0
335,Al1 V1 Pd1 Nb1 Hf1,AlVNbPdHf,SS,SS,-3.83949709508126,40.3639818154386,95.0230877801235,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
336,Cr1 Ta1 Zr1 Ti1 Mo1,TiCrZrMoTa,SS,SS+IM,-6.07064635210986,42.8461477837233,90.0376256111732,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2
337,Cr1 Ta1 Zr1 Ti1 V1,TiVCrZrTa,SS,SS+IM,-9.25203497795328,55.541638099713,84.4573953901924,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2
338,Cr1 Ta1 Zr1 Ti1 Pd1,TiCrZrPdTa,SS,SS,-5.44727089972496,44.6758875983334,105.182546171846,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2
339,Cr1 Ta1 Zr1 Ti1 Nb1,TiCrZrNbTa,SS,SS+IM,-10.1285713200371,55.9416560434579,86.8730338391135,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2
340,Cr1 Ta1 Zr1 Ti1 Hf1,TiCrZrHfTa,SS,SS+IM,-11.7040231674937,56.3535627966606,86.0564143936372,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2
341,Cr1 Ta1 Zr1 Mo1 V1,VCrZrMoTa,SS,SS+IM,-4.35824308418937,39.8673060321289,87.6051000001042,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2
342,Cr1 Ta1 Zr1 Mo1 Pd1,CrZrMoPdTa,SS,SS,-2.47495563288906,34.2956434267591,95.1384299105053,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2
343,Cr1 Ta1 Zr1 Mo1 Nb1,CrZrNbMoTa,SS,SS+IM,-3.41326018023836,38.3091567629207,87.1669681762976,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2
344,Cr1 Ta1 Zr1 Mo1 Hf1,CrZrMoHfTa,SS,SS,-5.33722582875404,42.0409623059514,89.1166355251355,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2
345,Cr1 Ta1 Zr1 V1 Pd1,VCrZrPdTa,SS,SS,-4.99139520585053,40.4859865410966,102.159084926704,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2
346,Cr1 Ta1 Zr1 V1 Nb1,VCrZrNbTa,SS,SS+IM,-8.32874568686695,52.1821056281712,92.1503626767857,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
347,Cr1 Ta1 Zr1 V1 Hf1,VCrZrHfTa,SS,SS,-10.3549372808013,54.6454672611957,86.1005266638824,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2
348,Cr1 Ta1 Zr1 Pd1 Nb1,CrZrNbPdTa,SS,SS,-3.96726429686936,39.0551682497679,102.325424153467,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2
349,Cr1 Ta1 Zr1 Pd1 Hf1,CrZrPdHfTa,SS,SS,-7.26387594217655,48.6217120011733,106.254739310368,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2
350,Cr1 Ta1 Zr1 Nb1 Hf1,CrZrNbHfTa,SS,SS+IM,-9.98203679191467,55.6945813561106,88.0953866482266,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2
351,Cr1 Ta1 Ti1 Mo1 V1,TiVCrMoTa,SS,SS+IM,-4.24663548280393,41.1575387662452,89.3785468289103,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2
352,Cr1 Ta1 Ti1 Mo1 Pd1,TiCrMoPdTa,SS,SS,-4.25769929144727,36.8892963020906,92.3584787064967,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2
353,Cr1 Ta1 Ti1 Mo1 Nb1,TiCrNbMoTa,SS,SS+IM,-4.4653533046343,40.0463668217368,87.1521584519027,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2
354,Cr1 Ta1 Ti1 Mo1 Hf1,TiCrMoHfTa,SS,SS,-6.22152087461567,43.0139656060068,89.7506910589103,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2
355,Cr1 Ta1 Ti1 V1 Pd1,TiVCrPdTa,SS,SS,-4.7880508817379,39.9100136374756,103.723048967052,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2
356,Cr1 Ta1 Ti1 V1 Nb1,TiVCrNbTa,SS,SS+IM,-5.98263401113963,50.9522492717441,99.4726819600309,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
357,Cr1 Ta1 Ti1 V1 Hf1,TiVCrHfTa,SS,SS,-8.93810079515407,54.1884076484531,87.8301235228965,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
358,Cr1 Ta1 Ti1 Pd1 Nb1,TiCrNbPdTa,SS,SS,-5.28864615218953,41.9502974544524,104.181943121698,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
359,Cr1 Ta1 Ti1 Pd1 Hf1,TiCrPdHfTa,SS,SS,-5.46675909203518,43.4920527528463,105.046812355647,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2
360,Cr1 Ta1 Ti1 Nb1 Hf1,TiCrNbHfTa,SS,SS+IM,-9.38207515438854,54.3310570632645,87.918163972436,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2
361,Cr1 Ta1 Mo1 V1 Pd1,VCrMoPdTa,SS,SS,-3.0616632810119,33.9269504412759,88.5856506723268,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2
362,Cr1 Ta1 Mo1 V1 Nb1,VCrNbMoTa,SS,SS,-4.42385342064146,39.5761305797206,89.7293287239531,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.2
363,Cr1 Ta1 Mo1 V1 Hf1,VCrMoHfTa,SS,SS,-4.99861250194519,38.7513950323692,89.6998390585656,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2
364,Cr1 Ta1 Mo1 Pd1 Nb1,CrNbMoPdTa,SS,SS,-3.3319735915063,34.858480189678,88.739018757922,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2
365,Cr1 Ta1 Mo1 Pd1 Hf1,CrMoPdHfTa,SS,SS,-3.80285009476071,35.8859666597745,94.9222820758432,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2
366,Cr1 Ta1 Mo1 Nb1 Hf1,CrNbMoHfTa,SS,SS,-3.97643352186288,39.1319606596817,88.5135509142901,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2
367,Cr1 Ta1 V1 Pd1 Nb1,VCrNbPdTa,SS,SS,-3.78961107139236,40.0464271993025,102.099185341361,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2
368,Cr1 Ta1 V1 Pd1 Hf1,VCrPdHfTa,SS,SS,-5.46002519800628,38.555542864245,102.010079426326,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2
369,Cr1 Ta1 V1 Nb1 Hf1,VCrNbHfTa,SS,SS,-8.03957591518277,50.8483616053257,95.5809992659253,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.2
370,Cr1 Ta1 Pd1 Nb1 Hf1,CrNbPdHfTa,SS,SS,-3.95847901777964,38.9386969796831,102.683083537791,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2
371,Cr1 Zr1 Ti1 Mo1 V1,TiVCrZrMo,SS+IM,SS+IM,-3.92776104828389,39.7946253167148,92.7582527653075,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
372,Cr1 Zr1 Ti1 Mo1 Pd1,TiCrZrMoPd,SS+IM,IM,-3.61386852755326,35.236635161954,104.584748081974,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0
373,Cr1 Zr1 Ti1 Mo1 Nb1,TiCrZrNbMo,SS+IM,SS+IM,-4.37022271140948,40.4041341317291,92.0395775380866,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
374,Cr1 Zr1 Ti1 Mo1 Hf1,TiCrZrMoHf,SS,SS+IM,-9.16868447803982,50.9497908046998,96.6635294835136,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0
375,Cr1 Zr1 Ti1 V1 Pd1,TiVCrZrPd,SS+IM,SS,-6.19010064287064,46.4397950715003,110.9752516218,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
376,Cr1 Zr1 Ti1 V1 Nb1,TiVCrZrNb,SS+IM,SS+IM,-8.81841700788183,57.8797818081612,90.5038853414643,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
377,Cr1 Zr1 Ti1 V1 Hf1,TiVCrZrHf,SS,SS,-13.7305454445281,60.1201731159227,88.9906383822362,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0
378,Cr1 Zr1 Ti1 Pd1 Nb1,TiCrZrNbPd,IM,IM,-6.33155152096118,42.874027299337,105.123641533175,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0
379,Cr1 Zr1 Ti1 Pd1 Hf1,TiCrZrPdHf,SS,SS,-10.7376822541523,54.9412524389003,113.234465598916,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0
380,Cr1 Zr1 Ti1 Nb1 Hf1,TiCrZrNbHf,SS,SS+IM,-13.7339031350602,60.1043993825284,89.5840790992556,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0
381,Cr1 Zr1 Mo1 V1 Pd1,VCrZrMoPd,SS+IM,SS,-3.54346759093469,34.3420064856201,94.44814371013,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0
382,Cr1 Zr1 Mo1 V1 Nb1,VCrZrNbMo,SS+IM,SS+IM,-3.63162413964678,37.0050863361645,90.5279307990895,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0
383,Cr1 Zr1 Mo1 V1 Hf1,VCrZrMoHf,SS,SS+IM,-6.5631141604623,44.3990776933829,93.0085777537428,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0
384,Cr1 Zr1 Mo1 Pd1 Nb1,CrZrNbMoPd,SS+IM,SS+IM,-1.66739543507695,31.1203022494346,93.8272322064219,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0
385,Cr1 Zr1 Mo1 Pd1 Hf1,CrZrMoPdHf,SS,SS,-2.96592242016251,35.3285235190268,105.238976437121,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0
386,Cr1 Zr1 Mo1 Nb1 Hf1,CrZrNbMoHf,SS+IM,SS+IM,-6.19534112383516,43.6915729150694,93.04933260248,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0
387,Cr1 Zr1 V1 Pd1 Nb1,VCrZrNbPd,IM,IM,-5.05078374814908,42.2933270506493,107.395375931347,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0
388,Cr1 Zr1 V1 Pd1 Hf1,VCrZrPdHf,SS,SS,-8.97072945753022,52.8504875343792,114.468741354358,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0
389,Cr1 Zr1 V1 Nb1 Hf1,VCrZrNbHf,SS,SS+IM,-11.100354148558,57.9297917316631,91.6386508783869,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0
390,Cr1 Zr1 Pd1 Nb1 Hf1,CrZrNbPdHf,SS,SS,-7.91118809738953,48.0920086099406,111.726265655854,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0
391,Cr1 Ti1 Mo1 V1 Pd1,TiVCrMoPd,SS+IM,SS,-1.9895375818532,31.5006408301107,96.0504786565899,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
392,Cr1 Ti1 Mo1 V1 Nb1,TiVCrNbMo,SS,SS,-3.00846082473041,37.4533448596031,89.884281760116,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0
393,Cr1 Ti1 Mo1 V1 Hf1,TiVCrMoHf,SS,SS+IM,-5.13031109512281,42.0285210283419,92.8410168001201,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0
394,Cr1 Ti1 Mo1 Pd1 Nb1,TiCrNbMoPd,SS,SS,-2.87620200122665,33.0750454609191,92.2890647051284,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0
395,Cr1 Ti1 Mo1 Pd1 Hf1,TiCrMoPdHf,SS,SS,-4.17436813362053,36.5588356172407,105.107033477635,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
396,Cr1 Ti1 Mo1 Nb1 Hf1,TiCrNbMoHf,SS,SS+IM,-4.4321250395474,39.8323363803886,90.7130759037106,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0
397,Cr1 Ti1 V1 Pd1 Nb1,TiVCrNbPd,SS+IM,SS,-3.6689856503703,39.039634399315,108.157139733367,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
398,Cr1 Ti1 V1 Pd1 Hf1,TiVCrPdHf,SS,SS,-6.90274000514305,48.8551517770912,113.681152439019,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
399,Cr1 Ti1 V1 Nb1 Hf1,TiVCrNbHf,SS,SS+IM,-8.28771581895947,56.8602321783096,89.5012358005167,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
400,Cr1 Ti1 Pd1 Nb1 Hf1,TiCrNbPdHf,SS,SS,-5.04035909504945,42.694950141973,108.391075393213,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0
401,Cr1 Mo1 V1 Pd1 Nb1,VCrNbMoPd,SS,SS,-1.53535738765159,30.5697656684862,90.7739703230484,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0
402,Cr1 Mo1 V1 Pd1 Hf1,VCrMoPdHf,SS,SS,-3.98657193309971,37.391778947389,96.2932345800973,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0
403,Cr1 Mo1 V1 Nb1 Hf1,VCrNbMoHf,SS,SS,-4.71433663607025,41.3899556563116,90.660390952376,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0
404,Cr1 Mo1 Pd1 Nb1 Hf1,CrNbMoPdHf,SS,SS,-2.89763025061741,35.2804377253344,96.8132481513255,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0
405,Cr1 V1 Pd1 Nb1 Hf1,VCrNbPdHf,SS,SS,-5.40161887736179,43.701918918562,109.882862877745,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0
406,Ta1 Zr1 Ti1 Mo1 V1,TiVZrMoTa,SS,SS,-8.61391991696002,51.3468928690802,89.629910699927,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2
407,Ta1 Zr1 Ti1 Mo1 Pd1,TiZrMoPdTa,SS,SS,-3.35394494796295,40.6443549463339,103.158114111644,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2
408,Ta1 Zr1 Ti1 Mo1 Nb1,TiZrNbMoTa,SS,SS,-7.38502852733919,50.9167987919058,91.6517122210698,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2
409,Ta1 Zr1 Ti1 Mo1 Hf1,TiZrMoHfTa,SS,SS,-8.59634635003935,51.2109927651001,91.5467510265966,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2
410,Ta1 Zr1 Ti1 V1 Pd1,TiVZrPdTa,SS,SS,-6.10382629927943,41.5524231916119,98.9921819228723,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2
411,Ta1 Zr1 Ti1 V1 Nb1,TiVZrNbTa,SS,SS,-11.8209159401787,59.2474785914266,87.3198746573437,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2
412,Ta1 Zr1 Ti1 V1 Hf1,TiVZrHfTa,SS,SS,-12.6888348489965,59.1399307740779,87.7701254726609,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2
413,Ta1 Zr1 Ti1 Pd1 Nb1,TiZrNbPdTa,SS,SS,-6.6645443242817,41.8908806743573,98.9287008180503,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2
414,Ta1 Zr1 Ti1 Pd1 Hf1,TiZrPdHfTa,SS,SS,-9.37391040756966,48.2261096604033,98.9281661909343,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2
415,Ta1 Zr1 Ti1 Nb1 Hf1,TiZrNbHfTa,SS,SS,-12.6759921311467,59.8887778981015,89.7098149048353,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2
416,Ta1 Zr1 Mo1 V1 Pd1,VZrMoPdTa,SS,SS,-2.5941098329701,34.5935383100974,97.4962771576793,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2
417,Ta1 Zr1 Mo1 V1 Nb1,VZrNbMoTa,SS,SS,-4.02255172207639,40.5776129663943,91.3241148749758,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2
418,Ta1 Zr1 Mo1 V1 Hf1,VZrMoHfTa,SS,SS,-6.82799642689586,48.6896342718472,89.3038816259224,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2
419,Ta1 Zr1 Mo1 Pd1 Nb1,ZrNbMoPdTa,SS,SS,-2.32137195155374,34.0571586145776,97.5812173139787,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2
420,Ta1 Zr1 Mo1 Pd1 Hf1,ZrMoPdHfTa,SS,SS,-3.15565558071881,38.4146568462589,102.738625089027,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
421,Ta1 Zr1 Mo1 Nb1 Hf1,ZrNbMoHfTa,SS,SS,-6.32975364634133,46.7304440702405,91.1445279337909,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
422,Ta1 Zr1 V1 Pd1 Nb1,VZrNbPdTa,SS,SS,-4.28418585817827,39.8079037156378,101.113637129512,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2
423,Ta1 Zr1 V1 Pd1 Hf1,VZrPdHfTa,SS,SS,-7.55329738299834,45.0150735868812,99.9214041152886,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2
424,Ta1 Zr1 V1 Nb1 Hf1,VZrNbHfTa,SS,SS,-11.3747924710025,57.9661732601757,86.9451631521658,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2
425,Ta1 Zr1 Pd1 Nb1 Hf1,ZrNbPdHfTa,SS,SS,-7.30290625136914,44.7842809194652,99.8121303293614,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
426,Ta1 Ti1 Mo1 V1 Pd1,TiVMoPdTa,SS,SS,-4.48856721689099,36.7688266842884,92.778365837523,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2
427,Ta1 Ti1 Mo1 V1 Nb1,TiVNbMoTa,SS,SS,-4.64935420115808,41.762658606645,91.9503228571478,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2
428,Ta1 Ti1 Mo1 V1 Hf1,TiVMoHfTa,SS,SS,-7.59510326052973,48.6331170125528,89.5125138408136,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2
429,Ta1 Ti1 Mo1 Pd1 Nb1,TiNbMoPdTa,SS,SS,-2.76484457496807,34.2676295124143,93.998664110061,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2
430,Ta1 Ti1 Mo1 Pd1 Hf1,TiMoPdHfTa,SS,SS,-2.7777377783084,38.3186814197547,102.582490476858,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
431,Ta1 Ti1 Mo1 Nb1 Hf1,TiNbMoHfTa,SS,SS,-7.4679062850898,49.2903845567864,91.6403411368809,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2
432,Ta1 Ti1 V1 Pd1 Nb1,TiVNbPdTa,SS,SS,-5.57032252786654,43.1216673503198,102.51145253593,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
433,Ta1 Ti1 V1 Pd1 Hf1,TiVPdHfTa,SS,SS,-6.64176480733612,41.2589112893991,99.521680857654,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
434,Ta1 Ti1 V1 Nb1 Hf1,TiVNbHfTa,SS,SS,-10.8256115031884,56.9205067081922,85.8806475989343,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
435,Ta1 Ti1 Pd1 Nb1 Hf1,TiNbPdHfTa,SS,SS,-7.098959765532,43.0217085232847,99.227685873176,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
436,Ta1 Mo1 V1 Pd1 Nb1,VNbMoPdTa,SS,SS,-3.86285348383379,36.4318411005204,91.3058352274692,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2
437,Ta1 Mo1 V1 Pd1 Hf1,VMoPdHfTa,SS,SS,-3.01960000653078,35.3238456267332,94.4680929977476,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.2
438,Ta1 Mo1 V1 Nb1 Hf1,VNbMoHfTa,SS,SS,-5.80491781349553,42.8697501129136,93.925915930257,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2
439,Ta1 Mo1 Pd1 Nb1 Hf1,NbMoPdHfTa,SS,SS,-2.29990859282229,34.6705853249607,96.4434016289624,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
440,Ta1 V1 Pd1 Nb1 Hf1,VNbPdHfTa,SS,SS,-4.49646697182327,40.0955828657699,101.475886847142,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
441,Zr1 Ti1 Mo1 V1 Pd1,TiVZrMoPd,SS,SS,-4.01625509105954,41.0103736501558,108.31738128327,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0
442,Zr1 Ti1 Mo1 V1 Nb1,TiVZrNbMo,SS,SS,-5.26175044239399,47.6048593421913,93.3765511118935,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0
443,Zr1 Ti1 Mo1 V1 Hf1,TiVZrMoHf,SS,SS,-10.3052087361531,52.0668543748033,87.3132651013992,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
444,Zr1 Ti1 Mo1 Pd1 Nb1,TiZrNbMoPd,SS,IM,-3.18181329750112,36.895643358503,102.471289087774,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0
445,Zr1 Ti1 Mo1 Pd1 Hf1,TiZrMoPdHf,SS,SS,-6.1801540736746,46.3710406506385,112.047922207256,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0
446,Zr1 Ti1 Mo1 Nb1 Hf1,TiZrNbMoHf,SS,SS,-9.41785887150074,51.5066945833499,89.1194092247739,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0
447,Zr1 Ti1 V1 Pd1 Nb1,TiVZrNbPd,SS,SS,-6.79726603071491,41.7182007168285,101.485524106749,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0
448,Zr1 Ti1 V1 Pd1 Hf1,TiVZrPdHf,SS,SS,-11.0273388536248,54.2026492971969,106.667374251347,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0
449,Zr1 Ti1 V1 Nb1 Hf1,TiVZrNbHf,SS,SS,-14.6137404588653,62.6702439322836,89.6867479976991,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0
